Data_Field,Champ_de_la_donnée,Data_Value,Valeur_de_la_donnée,Value_Description,Description_de_la_valeur
Protected Heritage Area,Aire patrimoniale protégée,Ivvavik National Park of Canada,Parc national du Canada Ivvavik,Ivvavik National Park of Canada,Parc national du Canada Ivvavik
Protected Heritage Area,Aire patrimoniale protégée,Jacques Cartier Cross,Croix de Jacques Cartier,Jacques Cartier Cross,Croix de Jacques Cartier
Protected Heritage Area,Aire patrimoniale protégée,Jasper House National Historic Site of Canada,Lieu historique national du Canada Jasper House,Jasper House National Historic Site of Canada,Lieu historique national du Canada Jasper House
Protected Heritage Area,Aire patrimoniale protégée,Jasper National Park of Canada,Parc national du Canada Jasper,Jasper National Park of Canada,Parc national du Canada Jasper
Protected Heritage Area,Aire patrimoniale protégée,Jasper Park Information Centre National Historic Site of Canada,Lieu historique national du Canada du Centre-d'Accueil-du-Parc-Jasper,Jasper Park Information Centre National Historic Site of Canada,Lieu historique national du Canada du Centre-d'Accueil-du-Parc-Jasper
Protected Heritage Area,Aire patrimoniale protégée,Kejimkujik National Park and National Historic Site of Canada,Parc national et lieu historique national du Canada Kejimkujik,Kejimkujik National Park and National Historic Site of Canada,Parc national et lieu historique national du Canada Kejimkujik
Protected Heritage Area,Aire patrimoniale protégée,Kicking Horse Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Kicking Horse,Kicking Horse Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Kicking Horse
Protected Heritage Area,Aire patrimoniale protégée,Kingston Fortifications National Historic Site of Canada,Lieu historique national du Canada des Fortifications-de-Kingston,Kingston Fortifications National Historic Site of Canada,Lieu historique national du Canada des Fortifications-de-Kingston
Protected Heritage Area,Aire patrimoniale protégée,Klondike National Historic Sites,Lieux historiques nationaux du Klondike,Klondike National Historic Sites,Lieux historiques nationaux du Klondike
Protected Heritage Area,Aire patrimoniale protégée,Kluane National Park and Reserve of Canada,Parc national et réserve de parc national du Canada Kluane,Kluane National Park and Reserve of Canada,Parc national et réserve de parc national du Canada Kluane
Protected Heritage Area,Aire patrimoniale protégée,Kootenae House National Historic Site of Canada,Lieu historique national du Canada Kootenae House,Kootenae House National Historic Site of Canada,Lieu historique national du Canada Kootenae House
Protected Heritage Area,Aire patrimoniale protégée,Kootenay National Park of Canada,Parc national du Canada Kootenay,Kootenay National Park of Canada,Parc national du Canada Kootenay
Protected Heritage Area,Aire patrimoniale protégée,Kouchibouguac National Park of Canada,Parc national du Canada Kouchibouguac,Kouchibouguac National Park of Canada,Parc national du Canada Kouchibouguac
Protected Heritage Area,Aire patrimoniale protégée,L.M. Montgomery's Cavendish National Historic Site of Canada,Lieu historique national du Canada du Cavendish-de-L.-M.-Montgomery,L.M. Montgomery's Cavendish National Historic Site of Canada,Lieu historique national du Canada du Cavendish-de-L.-M.-Montgomery
Protected Heritage Area,Aire patrimoniale protégée,La Coupe Dry Dock National Historic Site of Canada,Lieu historique national du Canada de la Cale-Sèche-de-La Coupe,La Coupe Dry Dock National Historic Site of Canada,Lieu historique national du Canada de la Cale-Sèche-de-La Coupe
Protected Heritage Area,Aire patrimoniale protégée,La Mauricie National Park of Canada,Parc national du Canada de la Mauricie,La Mauricie National Park of Canada,Parc national du Canada de la Mauricie
Protected Heritage Area,Aire patrimoniale protégée,Lachine Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Lachine,Lachine Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-Lachine
Protected Heritage Area,Aire patrimoniale protégée,Lake Superior National Marine Conservation Area,Aire marine nationale de conservation du Lac Supérieur,Lake Superior National Marine Conservation Area,Aire marine nationale de conservation du Lac Supérieur
