Data_Field,Champ_de_la_donnée,Data_Value,Valeur_de_la_donnée,Value_Description,Description_de_la_valeur
Protected Heritage Area,Aire patrimoniale protégée,St. Andrew's Rectory National Historic Site of Canada,Lieu historique national du Canada du Presbytère-St. Andrew's,St. Andrew's Rectory National Historic Site of Canada,Lieu historique national du Canada du Presbytère-St. Andrew's
Protected Heritage Area,Aire patrimoniale protégée,St. Peters Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-St. Peters,St. Peters Canal National Historic Site of Canada,Lieu historique national du Canada du Canal-de-St. Peters
Protected Heritage Area,Aire patrimoniale protégée,St. Peters National Historic Site of Canada,Lieu historique national du Canada St. Peters,St. Peters National Historic Site of Canada,Lieu historique national du Canada St. Peters
Protected Heritage Area,Aire patrimoniale protégée,Stanley Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Stanley,Stanley Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Stanley
Protected Heritage Area,Aire patrimoniale protégée,Sulphur Mountain Cosmic Ray Station National Historic Site of Canada,Lieu historique national du Canada de la Station-d'Étude-des-Rayons-Cosmiques-du-Mont-Sulphur,Sulphur Mountain Cosmic Ray Station National Historic Site of Canada,Lieu historique national du Canada de la Station-d'Étude-des-Rayons-Cosmiques-du-Mont-Sulphur
Protected Heritage Area,Aire patrimoniale protégée,Terra Nova National Park of Canada,Parc national du Canada Terra-Nova,Terra Nova National Park of Canada,Parc national du Canada Terra-Nova
Protected Heritage Area,Aire patrimoniale protégée,Thaidene Nene National Park Reserve,Réserve de parc national Thaidene Nene,Thaidene Nene National Park Reserve,Réserve de parc national Thaidene Nene
Protected Heritage Area,Aire patrimoniale protégée,The Bank Fishery - The Age of Sail Exhibit,Exposition « La pêche sur les bancs à l'ère de la voile »,The Bank Fishery - The Age of Sail Exhibit,Exposition « La pêche sur les bancs à l'ère de la voile »
Protected Heritage Area,Aire patrimoniale protégée,The Forks National Historic Site of Canada,Lieu historique national du Canada de La Fourche,The Forks National Historic Site of Canada,Lieu historique national du Canada de La Fourche
Protected Heritage Area,Aire patrimoniale protégée,The Fur Trade at Lachine National Historic Site of Canada,Lieu historique national du Canada du Commerce-de-la-Fourrure-à-Lachine,The Fur Trade at Lachine National Historic Site of Canada,Lieu historique national du Canada du Commerce-de-la-Fourrure-à-Lachine
Protected Heritage Area,Aire patrimoniale protégée,Thousand Islands National Park of Canada,Parc national du Canada des Mille-îles,Thousand Islands National Park of Canada,Parc national du Canada des Mille-îles
Protected Heritage Area,Aire patrimoniale protégée,Torngat Mountains National Park,Parc national du Canada des Monts-Torngat,Torngat Mountains National Park,Parc national du Canada des Monts-Torngat
Protected Heritage Area,Aire patrimoniale protégée,Trent-Severn Waterway National Historic Site of Canada,Lieu historique national du Canada de la Voie-Navigable-Trent-Severn,Trent-Severn Waterway National Historic Site of Canada,Lieu historique national du Canada de la Voie-Navigable-Trent-Severn
Protected Heritage Area,Aire patrimoniale protégée,Tuktut Nogait National Park of Canada,Parc national du Canada Tuktut Nogait,Tuktut Nogait National Park of Canada,Parc national du Canada Tuktut Nogait
Protected Heritage Area,Aire patrimoniale protégée,Twin Falls Tea House National Historic Site of Canada,Lieu historique national du Canada du Salon-de-Thé-des-Chutes-Twin,Twin Falls Tea House National Historic Site of Canada,Lieu historique national du Canada du Salon-de-Thé-des-Chutes-Twin
Protected Heritage Area,Aire patrimoniale protégée,Ukkusiksalik National Park of Canada,Parc national du Canada Ukkusiksalik,Ukkusiksalik National Park of Canada,Parc national du Canada Ukkusiksalik
Protected Heritage Area,Aire patrimoniale protégée,Vuntut National Park of Canada,Parc national du Canada Vuntut,Vuntut National Park of Canada,Parc national du Canada Vuntut
Protected Heritage Area,Aire patrimoniale protégée,Wapusk National Park of Canada,Parc national du Canada Wapusk,Wapusk National Park of Canada,Parc national du Canada Wapusk
Protected Heritage Area,Aire patrimoniale protégée,Waterton Lakes National Park of Canada,Parc national du Canada des Lacs-Waterton,Waterton Lakes National Park of Canada,Parc national du Canada des Lacs-Waterton
Protected Heritage Area,Aire patrimoniale protégée,Wood Buffalo National Park of Canada,Parc national du Canada Wood Buffalo,Wood Buffalo National Park of Canada,Parc national du Canada Wood Buffalo
Protected Heritage Area,Aire patrimoniale protégée,Woodside National Historic Site of Canada,Lieu historique national du Canada Woodside,Woodside National Historic Site of Canada,Lieu historique national du Canada Woodside
Protected Heritage Area,Aire patrimoniale protégée,Wrecks of HMS Erebus and HMS Terror National Historic Site of Canada,Lieu historique national du Canada des Épaves-du-HMS Erebus-et-du-HMS Terror,Wrecks of HMS Erebus and HMS Terror National Historic Site of Canada,Lieu historique national du Canada des Épaves-du-HMS Erebus-et-du-HMS Terror
Protected Heritage Area,Aire patrimoniale protégée,Yellowhead Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Yellowhead,Yellowhead Pass National Historic Site of Canada,Lieu historique national du Canada du Col-Yellowhead
Protected Heritage Area,Aire patrimoniale protégée,Yoho National Park of Canada,Parc national du Canada Yoho,Yoho National Park of Canada,Parc national du Canada Yoho
Protected Heritage Area,Aire patrimoniale protégée,York Factory National Historic Site of Canada,Lieu historique national du Canada York Factory,York Factory National Historic Site of Canada,Lieu historique national du Canada York Factory
Protected Heritage Area,Aire patrimoniale protégée,York Redoubt National Historic Site of Canada,Lieu historique national du Canada de la Redoute-York,York Redoubt National Historic Site of Canada,Lieu historique national du Canada de la Redoute-York
Reason for Animal Behaviour,Raison du comportement,Defence of Food,Défense de la nourriture,Defence of Food,Défense de la nourriture
Reason for Animal Behaviour,Raison du comportement,Defence of Mate,Défense du partenaire,Defence of Mate,Défense du partenaire
Reason for Animal Behaviour,Raison du comportement,Defence of Space,Défense de l’espace,Defence of Space,Défense de l’espace
Reason for Animal Behaviour,Raison du comportement,Defence of Young,Défense des juvéniles,Defence of Young,Défense des juvéniles
Reason for Animal Behaviour,Raison du comportement,Disease,Maladie,Disease,Maladie
Reason for Animal Behaviour,Raison du comportement,Food Conditioned,Habitué à la nourriture,"Wildlife that has learned to associate people (or the smell of people), human activities, human-use areas, or food storage receptacles, with sources of food","Animaux sauvages qui ont appris à associer les personnes (ou leur odeur), les activités humaines, les aires fréquentées par les humains ou les contenants à la nourriture de source anthropique"
Reason for Animal Behaviour,Raison du comportement,Food Reward,Récompense en nourriture,"Wildlife accessed unnatural attractants (e.g., human food, garbage, non-native fruit, spilled grain or others) with evidence that the food was partially or wholly consumed (direct observation, photos/video, toothmarks, evidence in scat)","Animaux sauvages qui ont eu accès à des attractifs non naturels (par exemple, nourriture humaine, déchets, arbre fruitier, céréales ou autres) avec la preuve que la nourriture a été partiellement ou totalement consommée (observation directe, photos/vidéos, marques de dents, preuves dans les excréments)"
Reason for Animal Behaviour,Raison du comportement,Habituation,Habituation,A reduction of natural wariness in an animal due to repeated exposure to humans or human activity over time,Réduction de la méfiance naturelle d’un animal en raison de son exposition répétée aux humains ou à l’activité humaine avec le temps
Reason for Animal Behaviour,Raison du comportement,Not Applicable,Sans objet,Not Applicable,Sans objet
Reason for Animal Behaviour,Raison du comportement,Predator Avoidance,Évitement d’un prédateur,Predator Avoidance,Évitement d’un prédateur
Reason for Animal Behaviour,Raison du comportement,Predatory,Prédateur,Predatory,Prédateur
Reason for Animal Behaviour,Raison du comportement,Presence of Domestic Animal,Présence d'un animal domestique,Presence of Domestic Animal,Présence d'un animal domestique
Reason for Animal Behaviour,Raison du comportement,Starvation,Famine,Starvation,Famine
Reason for Animal Behaviour,Raison du comportement,Stress,Stress,Stress,Stress
Reason for Animal Behaviour,Raison du comportement,Surprise,Surprise,Surprise,Surprise
Reason for Animal Behaviour,Raison du comportement,Unknown,Inconnue,Unknown,Inconnue
Response to Deterrent,Réaction à la dissuasion,Alert,Alerte,Alert,Alerte
Response to Deterrent,Réaction à la dissuasion,Charge,Charge,Charge,Charge
Response to Deterrent,Réaction à la dissuasion,Curious Approach,Approche de curiosité,Curious Approach,Approche de curiosité
Response to Deterrent,Réaction à la dissuasion,Indifferent,Indifférence,Indifferent,Indifférence
Response to Deterrent,Réaction à la dissuasion,Not Applicable,Sans objet,Not Applicable,Sans objet
Response to Deterrent,Réaction à la dissuasion,Other,Autre,Other,Autre
Response to Deterrent,Réaction à la dissuasion,Retreat - Run,Éloignement – course,Retreat - Run,Éloignement – course
Response to Deterrent,Réaction à la dissuasion,Retreat - Walk,Éloignement – marche,Retreat - Walk,Éloignement – marche
Response to Deterrent,Réaction à la dissuasion,Unaware,Non conscient,Unaware,Non conscient
Response to Deterrent,Réaction à la dissuasion,Unknown,Inconnue,Unknown,Inconnue
Response Type,Type d'intervention,Assist other Agency,Aider une autre organisation,Assist other Agency,Aider une autre organisation
Response Type,Type d'intervention,Assist other Field Unit,Aider une autre unité de gestion,Assist other Field Unit,Aider une autre unité de gestion
Response Type,Type d'intervention,Assist Visitor,Aider un visiteur,Assist Visitor,Aider un visiteur
Response Type,Type d'intervention,Attractant Management,Gérer les attractifs,"Remove wildlife attractants such as human food, garbage, fruit or natural vegetation from an area","Retirer d’un endroit les substances attractives pour la faune, comme de la nourriture, des déchets, des fruits ou des végétaux naturels"
Response Type,Type d'intervention,Aversive Conditioning,Conditionnement d’aversion,Deploy deterrents consistently to a specific animal to reduce the frequency of an undesirable behaviour,Déployer de façon soutenue des moyens de dissuasion pour un animal en particulier afin de réduire la fréquence d’un comportement indésirable
Response Type,Type d'intervention,Cancel Permit,Annulation de permis,Cancel Permit,Annulation de permis
Response Type,Type d'intervention,Capture and transport to captivity,Capturer et transporter en captivité,Capture and transport to captivity,Capturer et transporter en captivité
Response Type,Type d'intervention,Clean Up,Nettoyage,Clean Up,Nettoyage
Response Type,Type d'intervention,Close Area,Fermeture d’une zone,Close Area,Fermeture d’une zone
Response Type,Type d'intervention,Close Road,Fermeture d’une route,Close Road,Fermeture d’une route
Response Type,Type d'intervention,Collar,Collier,Collar an animal to monitor their behaviour,Poser un collier sur un animal pour suivre son comportement
Response Type,Type d'intervention,Collect Sample,Prélèvement d’échantillon,"Collect samples (such as hair, scat, biopsy, teeth, etc.)","Prélever des échantillons (p. Ex. Des poils, des excréments, une biopsie, des dents, etc.)"
Response Type,Type d'intervention,Cull,Élimination sélective,Removal of hyperabundant or invasive wildlife when other methods of limiting the population are not effective or feasible,Élimination des animaux sauvages surabondantes ou envahissantes lorsque les autres méthodes de contrôle de la population ne sont pas efficaces ou réalisables
Response Type,Type d'intervention,Destroy Animal,Destruction d’un animal,Humanely kill an animal due to the risk it poses to human safety,Destruction d’un animal
Response Type,Type d'intervention,Disentangle,Dégager/libérer,Aid wildlife to become disentangled from external factors,Aider des animaux sauvages à se dépêtrer d’une situation causée par des facteurs externes
Response Type,Type d'intervention,Dispatch other Agency,Répartir des tâches à un autre organisme,Dispatch other Agency,Répartir des tâches à un autre organisme
Response Type,Type d'intervention,Disperse Wildlife Jam,Décongestionner le trafic causé par la faune,"Disperse roadside people and vehicles that are viewing wildlife unsafely or contributing to disturbance, harassment or habituation of wildlife","Disperser des personnes et des véhicules immobilisés en bordure d’une route pour observer des animaux sauvages de manière non sécuritaire ou contribuant à perturber ou à harceler ces animaux, ou encore à les accoutumer aux humains"
Response Type,Type d'intervention,Dispose Carcass,Éliminer les carcasses,Dispose animal remains at a secure or appropriate location,Disposer de la carcasse d’un animal dans un endroit sûr ou approprié
Response Type,Type d'intervention,Ear Tag,Étiquette d’oreille,Attach an ear tag to identify the animal,Poser une étiquette d’oreille sur un animal pour l’identifier
Response Type,Type d'intervention,Euthanize,Euthanasier,Humanely kill an animal due to concerns for its welfare as a result of injury or poor health (compassionate reasons),Tuer sans cruauté un animal en raison de préoccupations liées au bien?être des animaux résultant d'une blessure ou d'une mauvaise santé (motifs de compassion)
Response Type,Type d'intervention,Evacuate Visitor,Faire évacuer les visiteurs,Evacuate Visitor,Faire évacuer les visiteurs
Response Type,Type d'intervention,Haze - Hard,Brume – épaisse,"Deploy deterrents of a high level of force to an animal to immediately modify the animal’s undesirable behaviour (e.g., impact deterrents such as bean bags or rubber slugs)",Déployer des moyens de dissuasion imposants afin de modifier immédiatement le comportement indésirable d’un animal (p. Ex. Des moyens de dissuasion avec impact comme des sacs de plombs ou des balles de caoutchouc)
Response Type,Type d'intervention,Haze - Soft,Brume – légère,"Deploy deterrents of a low level of force to an animal to immediately modify the animal’s undesirable behaviour (e.g., presence, noise, or non-impact projectiles)","Déployer des moyens de dissuasion de force moindre afin de modifier immédiatement le comportement indésirable d’un animal (p. Ex. Présence, bruit ou des projectiles sans impact)"
Response Type,Type d'intervention,Immobilize Animal,Immobiliser l’animal,"Immobilize an animal using chemical or physical restraints, following standard animal care protocols","Immobiliser un animal à l’aide de substances chimiques ou de moyens de contention physique, dans le respect des protocoles normalisés de soins aux animaux"
Response Type,Type d'intervention,Inform Visitor,Informer un visiteur,Inform Visitor,Informer un visiteur
Response Type,Type d'intervention,Infrastructure modification,Modification de l'infrastructure,"Change a man-made structure to reduce future conflicts. E.g., install new barriers for people or wildlife (beaver exclusion) or move a pathway","Modifier une structure artificielle pour réduire les conflits futurs. Par exemple, installez de nouvelles barrières pour les personnes ou la faune (exclusion des castors) ou déplacez un sentier"
Response Type,Type d'intervention,Investigate Incident,Enquêter sur l’incident,Investigate Incident,Enquêter sur l’incident
Response Type,Type d'intervention,Issue Prohibited Activity Order,Rendre une ordonnance d’interdiction,Issue Prohibited Activity Order,Rendre une ordonnance d’interdiction
Response Type,Type d'intervention,Issue Restricted Activity Order,Rendre une ordonnance de restriction d’une activité,Issue Restricted Activity Order,Rendre une ordonnance de restriction d’une activité
Response Type,Type d'intervention,Issue Stop Work Order,Rendre une ordonnance d’arrêt des travaux,Issue Stop Work Order,Rendre une ordonnance d’arrêt des travaux
Response Type,Type d'intervention,Leave on Landscape,Laisser dans le paysage,Leave animal remains on the landscape at an isolated location where it will not create a safety hazard for people or wildlife,"Laisser une carcasse d’animal dans le paysage, à un endroit isolé, où il ne créera pas de danger pour les humains ou la faune"
Response Type,Type d'intervention,Mark - microchip,Marque – puce,Implant a microchip in an animal to identify the animal,Implanter une micropuce sur un animal pour l’identifier
Response Type,Type d'intervention,Mark - paint,Marque – peinture,Mark an animal with paint or dye to identify the animal,Marquer un animal de peinture ou de teinture pour l’identifier
Response Type,Type d'intervention,Monitor - Camera,Surveillance – caméra,Monitor using an automated camera,Surveiller à l’aide d’une caméra automatisée
Response Type,Type d'intervention,Monitor - patrol,Surveillance – patrouille,Monitor by patrolling the area,Surveiller en effectuant une patrouille dans le secteur
Response Type,Type d'intervention,Monitor - visitor and staff sighting,Surveillance – observation par les visiteurs et le personnel,Monitor for other related wildlife sightings by visitors and staff,Surveiller la présence éventuelle d’autres animaux sauvages observés par des visiteurs et des employés
Response Type,Type d'intervention,Necropsy,Nécropsie,"Conduct a necropsy to assess an animal’s health, injury and cause of death","Procéder à une nécropsie afin d’évaluer l’état de santé, les blessures et la cause de la mort d’un animal"
Response Type,Type d'intervention,No response required,Aucune réponse requise,No response required,Aucune réponse requise
Response Type,Type d'intervention,Not Applicable,Sans objet,Not Applicable,Sans objet
Response Type,Type d'intervention,Refer incident to other agency,Renvoyer l’incident à un autre organisme,Refer incident to other agency,Renvoyer l’incident à un autre organisme
Response Type,Type d'intervention,Rehabilitate area,Remettre la zone en état,Rehabilitate an area following a natural or unnatural disturbance,Remettre en état un secteur après une perturbation naturelle ou d’origine anthropique
Response Type,Type d'intervention,Relocate animal (s),Relocaliser l’animal ou les animaux,"Move a live animal to another location presumed to be within its home range. Sometimes requires capture, transport and release.","Capturer, transporter et libérer un animal dans un autre endroit censé se trouver à l’extérieur de son domaine vitalun animal vivant vers un autre endroit présumé se trouver dans son domaine vital. Il faut parfois capturer, transporter et relâcher l'animal."
Response Type,Type d'intervention,Request assistance - other Agency,Demander de l’aide – autre organisme,Request assistance - other Agency,Demander de l’aide – autre organisme
Response Type,Type d'intervention,Request assistance - police,Demander de l’aide – police,Request assistance - police,Demander de l’aide – police
Response Type,Type d'intervention,Traffic control,Contrôle de la circulation,Manage vehicle traffic,Gérer la circulation des véhicules
Response Type,Type d'intervention,Translocate,Déplacer,"Capture, transport and release an animal at another location beyond its home range","Capturer, transporter et libérer un animal dans un autre endroit censé se trouver à l’extérieur de son domaine vital"
Response Type,Type d'intervention,Trap or snare,Piège ou collet,Set a trap or snare to capture wildlife,Poser un piège ou un collet pour capturer un animal sauvage
Response Type,Type d'intervention,Unable to respond,Incapable de répondre,Unable to respond,Incapable de répondre
Response Type,Type d'intervention,Warning signs,Panneaux avertisseurs,Warning signs,Panneaux avertisseurs
Species Common Name ,Nom commun de l’espèce,American Coot,Foulque d'Amérique,Fulica americana,Fulica americana
Species Common Name ,Nom commun de l’espèce,American Dipper,Cincle d'Amérique,Cinclus mexicanus,Cinclus mexicanus
Species Common Name ,Nom commun de l’espèce,American Dog Tick,Tique américaine du chien,Dermacentor variabilis ,Dermacentor variabilis 
Species Common Name ,Nom commun de l’espèce,American eel,Anguille d'Amérique,Anguilla rostrata,Anguilla rostrata
Species Common Name ,Nom commun de l’espèce,American Kestrel,Crécerelle d'Amérique,Falco sparverius,Falco sparverius
Species Common Name ,Nom commun de l’espèce,American Robin,Merle d'Amérique,Turdus migratorius,Turdus migratorius
Species Common Name ,Nom commun de l’espèce,American sand lance,lançon d’Amérique,Ammodytes americanus,Ammodytes americanus
Species Common Name ,Nom commun de l’espèce,American Toad,Crapaud d'Amérique,Anaxyrus americanus,Anaxyrus americanus
Species Common Name ,Nom commun de l’espèce,American Tree Sparrow,Bruant hudsonien,Spizelloides arborea,Spizelloides arborea
Species Common Name ,Nom commun de l’espèce,Ant,Fourmi,Formicidae,Formicidae
Species Common Name ,Nom commun de l’espèce,Arctic Fox,Renard arctique,Vulpes lagopus,Vulpes lagopus
Species Common Name ,Nom commun de l’espèce,Arctic Ground Squirrel,Écureuil terrestre arctique,Urocitellus parryii,Urocitellus parryii
Species Common Name ,Nom commun de l’espèce,Atlantic Cod,Morue de l'Atlantique,Gadus morhua,Gadus morhua
Species Common Name ,Nom commun de l’espèce,Atlantic Halibut,Flétan atlantique,Hippoglossus hippoglossus,Hippoglossus hippoglossus
Species Common Name ,Nom commun de l’espèce,Atlantic Herring,Hareng de l’Atlantique,Clupea harengus,Clupea harengus
Species Common Name ,Nom commun de l’espèce,Atlantic Salmon,Saumon d'Atlantique,Salmo salar,Salmo salar
Species Common Name ,Nom commun de l’espèce,Atlantic White-sided Dolphin,Dauphin à flancs blancs,Lagenorhynchus acutus,Lagenorhynchus acutus
Species Common Name ,Nom commun de l’espèce,Badger,Blaireau,Taxidea taxus,Taxidea taxus
Species Common Name ,Nom commun de l’espèce,Bald Eagle,Pigargue à tête blanche,Haliaeetus leucocephalus,Haliaeetus leucocephalus
Species Common Name ,Nom commun de l’espèce,Banff Springs Snail,Physe des fontaines de Banff,Physella johnsoni,Physella johnsoni
Species Common Name ,Nom commun de l’espèce,Bank Swallow,Hirondelle de rivage,Riparia riparia,Riparia riparia
Species Common Name ,Nom commun de l’espèce,Barn Swallow,Hirondelle rustique,Hirundo rustica,Hirundo rustica
Species Common Name ,Nom commun de l’espèce,Barred Owl,Chouette rayée,Strix varia,Strix varia
Species Common Name ,Nom commun de l’espèce,Basking Shark,Pèlerin,Cetorhinus maximus,Cetorhinus maximus
Species Common Name ,Nom commun de l’espèce,Bearded Seal,Phoque barbu,Erignathus barbatus,Erignathus barbatus
Species Common Name ,Nom commun de l’espèce,Beaver,Castor,Castor canadensis,Castor canadensis
Species Common Name ,Nom commun de l’espèce,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Megaceryle alcyon
Species Common Name ,Nom commun de l’espèce,Beluga Whale,Beluga,Delphinapterus leucas,Delphinapterus leucas
Species Common Name ,Nom commun de l’espèce,Big Brown Bat,Grande chauve-souris brune,Eptesicus fuscus,Eptesicus fuscus
Species Common Name ,Nom commun de l’espèce,Big Skate,Raie tachetée,Raja binoculata,Raja binoculata
Species Common Name ,Nom commun de l’espèce,Bighorn Sheep,Mouflon d'Amérique,Ovis canadensis,Ovis canadensis
Species Common Name ,Nom commun de l’espèce,Black Bear,Ours noir,Ursus americanus,Ursus americanus
Species Common Name ,Nom commun de l’espèce,Black Duck,Canard noir,Anas rubripes,Anas rubripes
Species Common Name ,Nom commun de l’espèce,Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Haematopus bachmani
Species Common Name ,Nom commun de l’espèce,Black Rat,Rat noir,Rattus rattus,Rattus rattus
Species Common Name ,Nom commun de l’espèce,Black Scoter,Macreuse à bec jaune,Melanitta americana,Melanitta americana
Species Common Name ,Nom commun de l’espèce,Black Swift,Martinet sombre,Cypseloides niger,Cypseloides niger
Species Common Name ,Nom commun de l’espèce,Black Widow Spider,Veuve Noire,Latrodectus mactans,Latrodectus mactans
Species Common Name ,Nom commun de l’espèce,Black-billed Murrelet,Guillemot à  long bec,Brachyramphus perdix,Brachyramphus perdix
Species Common Name ,Nom commun de l’espèce,Black-footed Albatross,Albatros à pieds noirs,Phoebastria nigripes,Phoebastria nigripes
Species Common Name ,Nom commun de l’espèce,Black-footed Ferret,Putois d'Amérique,Mustela nigripes,Mustela nigripes
Species Common Name ,Nom commun de l’espèce,Black-tailed deer,Cerfs à queue noire,Odocoileus hemionus columbianus,Odocoileus hemionus columbianus
Species Common Name ,Nom commun de l’espèce,Black-tailed prairie dog,Chien de prairie, Cynomys ludovicianus, Cynomys ludovicianus
Species Common Name ,Nom commun de l’espèce,Black-throated Sparrow,Bruant à gorge noire,Amphispiza bilineata,Amphispiza bilineata
Species Common Name ,Nom commun de l’espèce,Blanding's Turtle,Tortue mouchetée,Emydoidea blandingii,Emydoidea blandingii
Species Common Name ,Nom commun de l’espèce,Blue Grouse,Tétras sombre,Dendragapus obscurus,Dendragapus obscurus
Species Common Name ,Nom commun de l’espèce,Blue Jay,Geai bleu,Cyanocitta cristata,Cyanocitta cristata
Species Common Name ,Nom commun de l’espèce,Blue Shark,Requin bleu,Prionace glauca,Prionace glauca
Species Common Name ,Nom commun de l’espèce,Blue Whale,Rorqual bleu,Balaenoptera musculus,Balaenoptera musculus
Species Common Name ,Nom commun de l’espèce,Blueback herring,Alose d'été,Alosa aestivalis,Alosa aestivalis
Species Common Name ,Nom commun de l’espèce,Bluefin tuna,thon rouge,Thunnus thynnus,Thunnus thynnus
Species Common Name ,Nom commun de l’espèce,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Spatula discors
Species Common Name ,Nom commun de l’espèce,Bluntnose Sixgill Shark,Requin griset,Hexanchus griseus,Hexanchus griseus
Species Common Name ,Nom commun de l’espèce,Bobcat,Lynx roux,Lynx rufus,Lynx rufus
Species Common Name ,Nom commun de l’espèce,Bobolink,Goglu des prés,Dolichonyx oryzivorus,Dolichonyx oryzivorus
Species Common Name ,Nom commun de l’espèce,Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,Bombycilla garrulus
Species Common Name ,Nom commun de l’espèce,Boreal Chorus Frog,Rainette faux-grillon boréale,Pseudacris maculata,Pseudacris maculata
Species Common Name ,Nom commun de l’espèce,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Aegolius funereus
Species Common Name ,Nom commun de l’espèce,Broad-winged Hawk,Petite Buse,Buteo platypterus,Buteo platypterus
Species Common Name ,Nom commun de l’espèce,Brook Trout,Omble de fontaine,Salvelinus fontinalis,Salvelinus fontinalis
Species Common Name ,Nom commun de l’espèce,Brown Dog Tick,Tique sanguine,Rhipicephalus sanguineus,Rhipicephalus sanguineus
Species Common Name ,Nom commun de l’espèce,Brown Rat,Rat surmulot,Rattus norvegicus,Rattus norvegicus
Species Common Name ,Nom commun de l’espèce,Brown Recluse Spider,Recluse brune,Loxosceles reclusa,Loxosceles reclusa
Species Common Name ,Nom commun de l’espèce,Brown-headed cowbird,Vacher à tête brune,Molothrus ater,Molothrus ater
Species Common Name ,Nom commun de l’espèce,Bufflehead,Petit Garrot,Bucephala albeola,Bucephala albeola
Species Common Name ,Nom commun de l’espèce,Bullfrog,Ouaouaron,Lithobates catesbeianus,Lithobates catesbeianus
Species Common Name ,Nom commun de l’espèce,Bullsnake,Couleuvre à nez mince des Prairies,Pituophis catenifer sayi,Pituophis catenifer sayi
Species Common Name ,Nom commun de l’espèce,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Athene cunicularia
Species Common Name ,Nom commun de l’espèce,California Gull,Goéland de Californie,Larus californicus,Larus californicus
Species Common Name ,Nom commun de l’espèce,California Sea Lion,Otarie de Californie,Zalophus californianus,Zalophus californianus
Species Common Name ,Nom commun de l’espèce,Canada Goose,Bernache du Canada,Branta canadensis,Branta canadensis
Species Common Name ,Nom commun de l’espèce,Canadian Toad,Crapaud du Canada,Anaxyrus hemiophrys,Anaxyrus hemiophrys
Species Common Name ,Nom commun de l’espèce,Canvasback,Fuligule à dos blanc,Aythya valisineria,Aythya valisineria
Species Common Name ,Nom commun de l’espèce,Capelin,Capelan,Mallotus villosus,Mallotus villosus
Species Common Name ,Nom commun de l’espèce,Caribou,Caribou des bois,Rangifer tarandus,Rangifer tarandus
Species Common Name ,Nom commun de l’espèce,Cave Swallow,Hirondelle à front brun,Petrochelidon fulva,Petrochelidon fulva
Species Common Name ,Nom commun de l’espèce,Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,Bombycilla cedrorum
Species Common Name ,Nom commun de l’espèce,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Poecile rufescens
Species Common Name ,Nom commun de l’espèce,Chipping Sparrow,Bruant familier,Spizella passerina,Spizella passerina
Species Common Name ,Nom commun de l’espèce,Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonata,Petrochelidon pyrrhonata
Species Common Name ,Nom commun de l’espèce,Columbian Ground Squirrel,Écureuil terrestre colombien,Spermophilus columbianus,Spermophilus columbianus
Species Common Name ,Nom commun de l’espèce,Common Eider,Eider à duvet,Somateria mollissima,Somateria mollissima
Species Common Name ,Nom commun de l’espèce,Common Gartersnake,Couleuvre rayée,Thamnophis sirtalis,Thamnophis sirtalis
Species Common Name ,Nom commun de l’espèce,Common Goldeneye,Garrot à œil d'or,Bucephala clangula,Bucephala clangula
Species Common Name ,Nom commun de l’espèce,Common Loon,Plongeon huard,Gavia immer,Gavia immer
Species Common Name ,Nom commun de l’espèce,Common Merganser,Grande Harle,Mergus merganser,Mergus merganser
Species Common Name ,Nom commun de l’espèce,Common Murre,Guillemot marmette,Uria aalge,Uria aalge
Species Common Name ,Nom commun de l’espèce,Common Nighthawk,L’Engoulevent d’Amérique,Chordeiles minor,Chordeiles minor
Species Common Name ,Nom commun de l’espèce,Common Redpoll,Sizerin flammé,Acanthis flammea,Acanthis flammea
Species Common Name ,Nom commun de l’espèce,Common Tern,Sterne pierregarin,Sterna hirundo,Sterna hirundo
Species Common Name ,Nom commun de l’espèce,Cooper's Hawk,Êpervier de Cooper,Accipiter cooperii,Accipiter cooperii
Species Common Name ,Nom commun de l’espèce,Cougar,Couguar,Puma concolor,Puma concolor
Species Common Name ,Nom commun de l’espèce,Coyote,Coyote,Canis latrans,Canis latrans
Species Common Name ,Nom commun de l’espèce,Crow,Corneille,Corvus brachyrhynchos,Corvus brachyrhynchos
Species Common Name ,Nom commun de l’espèce,Dall's Porpoise,Marsouin de Dal,Phocoenoides dalli,Phocoenoides dalli
Species Common Name ,Nom commun de l’espèce,Dall's sheep,Le mouton de Dall,Ovis dalli,Ovis dalli
Species Common Name ,Nom commun de l’espèce,Dark-eyed Junco,Junco ardoisé,Junco hyemalis,Junco hyemalis
Species Common Name ,Nom commun de l’espèce,Deer Mouse,Souris sylvestre,Peromyscus maniculatus,Peromyscus maniculatus
